Date,MarketCap
2/10/15,3043095552
2/13/15,3319054029
2/16/15,3265287116
2/19/15,3347513318
2/22/15,3272741800
2/25/15,3311229562
2/28/15,3513702465
3/3/15,3833785480
3/6/15,3785549759
3/9/15,4002310934
3/12/15,4143624087
3/15/15,3954043366
3/18/15,3709717424
3/21/15,3600557276
3/24/15,3463709255
3/27/15,3477917245
3/30/15,3432372892
4/2/15,3536772754
4/5/15,3604010402
4/8/15,3450310038
4/11/15,3323853833
4/14/15,3035523600
4/17/15,3131458311
4/20/15,3161465083
4/23/15,3316759348
4/26/15,3078777334
4/29/15,3183645205
5/2/15,3305201504
5/5/15,3315170883
5/8/15,3460059372
5/11/15,3455032101
5/14/15,3374718444
5/17/15,3341497738
5/20/15,3327208635
5/23/15,3388826795
5/26/15,3351138399
5/29/15,3352703354
6/1/15,3163506560
6/4/15,3210595731
6/7/15,3171359940
6/10/15,3251063484
6/13/15,3285158823
6/16/15,3503622535
6/19/15,3522146336
6/22/15,3523205319
6/25/15,3462594912
6/28/15,3563126298
7/1/15,3696067024
7/4/15,3700017152
7/7/15,3837098591
7/10/15,4123436258
7/13/15,4168493842
7/16/15,3968131248
7/19/15,3975965188
7/22/15,3999837095
7/25/15,4141275320
7/28/15,4261604875
7/31/15,4113647100
8/3/15,4111340913
8/6/15,4008791845
8/9/15,3842697676
8/12/15,3881585458
8/15/15,3848418459
8/18/15,3684437228
8/21/15,3392269897
8/24/15,3099123540
8/27/15,3320084429
8/30/15,3296497320
9/2/15,3360459735
9/5/15,3421248063
9/8/15,3546494661
9/11/15,3503433867
9/14/15,3373797492
9/17/15,3422039400
9/20/15,3368746800
9/23/15,3367629248
9/26/15,3426109284
9/29/15,3486272414
10/2/15,3490319120
10/5/15,3514153761
10/8/15,3585617248
10/11/15,3649597910
10/14/15,3748227565
10/17/15,3964275578
10/20/15,3977971670
10/23/15,4093632237
10/26/15,4207771165
10/29/15,4586422490
11/1/15,4606968188
11/4/15,6468809829
11/7/15,5737988774
11/10/15,5241134019
11/13/15,4928286660
11/16/15,4889455205
11/19/15,4888331350
11/22/15,4793345255
11/25/15,4836836875
11/28/15,5270688720
12/1/15,5356194597
12/4/15,5383391312
12/7/15,5905880837
12/10/15,6210898129
12/13/15,6562214148
12/16/15,6802214980
12/19/15,6908418909
12/22/15,6536266658
12/25/15,6826212809
12/28/15,6366854663
12/31/15,6452379124
1/3/16,6438700586
1/6/16,6483207481
1/9/16,6780575689
1/12/16,6733767995
1/15/16,5907989111
1/18/16,5816707008
1/21/16,6164094600
1/24/16,6120153919
1/27/16,5969251295
1/30/16,5728624464
2/2/16,5661377906
2/5/16,5863797293
2/8/16,5706626345
2/11/16,5726044294
2/14/16,6120531764
2/17/16,6363300370
2/20/16,6694895489
2/23/16,6356518650
2/26/16,6472839926
2/29/16,6657971470
3/3/16,6437380104
3/6/16,6249823739
3/9/16,6319324958
3/12/16,6276710500
3/15/16,6354388122
3/18/16,6268375748
3/21/16,6297439975
3/24/16,6393876499
3/27/16,6557216490
3/30/16,6340066808
4/2/16,6432320503
4/5/16,6494098133
4/8/16,6505384260
4/11/16,6487239628
4/14/16,6539602042
4/17/16,6574388529
4/20/16,6836596929
4/23/16,6979865503
4/26/16,7242797766
4/29/16,7064675364
5/2/16,6879884028
5/5/16,6956636781
5/8/16,7106510950
5/11/16,7029335591
5/14/16,7083067859
5/17/16,7044930395
5/20/16,6868519563
5/23/16,6888422725
5/26/16,7053945796
5/29/16,7989516744
6/1/16,8421126700
6/4/16,8961804457
6/7/16,9028090842
6/10/16,9064666618
6/13/16,11010699783
6/16/16,12027967803
6/19/16,12010449024
6/22/16,9256421500
6/25/16,10441035606
6/28/16,10196368957
7/1/16,10608368894
7/4/16,10651112510
7/7/16,10012128071
7/10/16,10235998868
7/13/16,10366219391
7/16/16,10453324633
7/19/16,10660891361
7/22/16,10230283752
7/25/16,10327136947
7/28/16,10354974234
7/31/16,9858709807
8/3/16,8908098000
8/6/16,9309397508
8/9/16,9548313985
8/12/16,9241807138
8/15/16,8945200084
8/18/16,9055705733
8/21/16,9185393312
8/24/16,9186966578
8/27/16,9000157327
8/30/16,9173160323
9/2/16,9194478279
9/5/16,9709692792
9/8/16,9996600081
9/11/16,9682890147
9/14/16,9744519111
9/17/16,9658620486
9/20/16,9683802530
9/23/16,9592952324
9/26/16,9682117481
9/29/16,9631379511
10/2/16,9698339801
10/5/16,9762755869
10/8/16,9881956035
10/11/16,10207866901
10/14/16,10216074252
10/17/16,10182607559
10/20/16,10085494745
10/23/16,10504485908
10/26/16,10751191343
10/29/16,11433877548
11/1/16,11722434159
11/4/16,11304928422
11/7/16,11260957290
11/10/16,11422773692
11/13/16,11247332052
11/16/16,11832832521
11/19/16,12049740050
11/22/16,11968547387
11/25/16,11852162087
11/28/16,11713912056
12/1/16,12069035148
12/4/16,12265688032
12/7/16,12284990288
12/10/16,12395528463
12/13/16,12503873910
12/16/16,12573714999
12/19/16,12697576938
12/22/16,13815565559
12/25/16,14372404881
12/28/16,15706536998
12/31/16,15485593574
1/3/17,16604032594
1/6/17,14246702550
1/9/17,14483317500
1/12/17,12943143564
1/15/17,13217812515
1/18/17,14128772648
1/21/17,14894193301
1/24/17,14334397639
1/27/17,14801282964
1/30/17,14820631418
2/2/17,16260607103
2/5/17,16350262338
2/8/17,16925772491
2/11/17,16190090550
2/14/17,16370570040
2/17/17,17119935725
2/20/17,17714421920
2/23/17,19140851275
2/26/17,19133795678
3/1/17,19898087659
3/4/17,20515484348
3/7/17,20046119625
3/10/17,17733596764
3/13/17,20016183000
3/16/17,19100245120
3/19/17,16629604629
3/22/17,16558917210
3/25/17,15551246387
3/28/17,16971709883
3/31/17,17563966388
4/3/17,18556863561
